typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,156,,,M,,0,,,104,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,3759762490.0,,3759762490.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,112,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,274877900.0,,274877900.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,116,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,507032741.0,,507032741.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,120,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,854934733.0,,854934733.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,140,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,506184.0,,506184.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,136,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,1655.0,,1655.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,124,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,16883700738.0,,16883700738.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,144,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,208887595.0,,208887595.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,148,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,87472539.0,,87472539.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,152,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,17726805730.0,,17726805730.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,170,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,2327832093.0,,2327832093.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,178,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,2434379057.0,,2434379057.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,180,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,391268635.0,,391268635.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,184,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,415618.0,,415618.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,188,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,139693889.0,,139693889.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,191,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,111497820.0,,111497820.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,192,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,274951029.0,,274951029.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,196,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,48556491.0,,48556491.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,203,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,653287220.0,,653287220.0,0,False,True
